status_id,status_text,status_datetime,username
1478644940624252929,"ข่าวปลอม อย่าแชร์  สูดดมไอน้ำจากหม้อต้มสมุนไพร ช่วยฆ่าเชื้อโควิด-19

",2022-01-05 08:30:00+00:00,AFNCThailand
1478584541765898243,"ข่าวปลอม อย่าแชร์  จันทบุรีท้องเสียพร้อมกันทั้งจังหวัด ผลจากวัคซีนป้องกันโควิด-19

",2022-01-05 04:30:00+00:00,AFNCThailand
1478290109740969984,"ข่าวปลอม อย่าแชร์  พนักงานติดโควิด-19 แล้วต้องกักตัว 14 วัน บริษัทมีสิทธิ์ไม่จ่ายเงินเดือน

",2022-01-04 09:00:02+00:00,AFNCThailand
1477927717244915716,"ข่าวปลอม อย่าแชร์  กองประชาสัมพันธ์กทม. อัปเดตสถานที่เสี่ยงโควิด 19 จำนวน 36 สถานที่

",2022-01-03 09:00:01+00:00,AFNCThailand
1477542676660568068,"ข่าวปลอม อย่าแชร์  ทานเนื้อวัว นมวัว เป็นประจำทำให้เลือดเป็นกรด เสี่ยงติดเชื้อโควิดได้ง่าย

",2022-01-02 07:30:00+00:00,AFNCThailand
1476047827805655040,"ข่าวปลอม อย่าแชร์  หลังฉีดวัคซีนโควิด 19 ห้ามทำฟัน ห้ามฉีดยาชา

",2021-12-29 04:30:00+00:00,AFNCThailand
1475685439327682560,"ข่าวปลอม อย่าแชร์  คลื่นสัญญาณจากโทรศัพท์ 5G เป็นตัวกระตุ้นวัคซีนโควิด 19 ให้ทำอันตรายต่อร่างกาย

",2021-12-28 04:30:00+00:00,AFNCThailand
1474598278679306241,"ข่าวปลอม อย่าแชร์  การทดสอบ PCR เป็นการสร้างความเสียหายต่อสมอง

",2021-12-25 04:30:01+00:00,AFNCThailand
1472424128774696968,"ข่าวบิดเบือน กระทรวงแรงงานอนุมัติเงินเยียวยาสำหรับผู้ตกงานช่วงโควิด 19 สูงสุด 100 เท่า

",2021-12-19 04:30:43+00:00,AFNCThailand
1472061560675868675,"ข่าวปลอม อย่าแชร์  ผลิตภัณฑ์ฟ้าทะลายโจร ตรา TOP สามารถต้านไวรัส ช่วยป้องกันโควิด-19 ได้

",2021-12-18 04:30:00+00:00,AFNCThailand
1470612008772923392,"ข่าวปลอม อย่าแชร์  เอกสารรับรองการฉีดวัคซีนโควิด 19 สามารถจ้างผู้อื่นทำได้ แม้ไม่ได้ฉีดจริง

",2021-12-14 04:30:00+00:00,AFNCThailand
1469881129658306561,"ระวังลิงก์ปลอม! อ้างเป็นโรงพยาบาลให้กรอกข้อมูลจองวัคซีนโควิด-19 

",2021-12-12 04:05:45+00:00,AFNCThailand
1469164916422496259,"ข่าวปลอม อย่าแชร์  ยาห้าราก และยาจันทลีลา ช่วยลดโอกาสเสียชีวิตจากโควิด-19

",2021-12-10 04:39:46+00:00,AFNCThailand
1468765580266115074,"หมั่นทำความสะอาดสิ่งของเครื่องใช้ ห่างไกลโควิด-19

",2021-12-09 02:12:57+00:00,AFNCThailand
1468120934057852930,"ข่าวปลอม อย่าแชร์  พบผู้ติดเชื้อโควิด-19 ที่ห้างบิ๊กซี ลพบุรี

",2021-12-07 07:31:21+00:00,AFNCThailand
1467795960025735170,"ข่าวปลอม อย่าแชร์  ผู้ที่ทานเนื้อวัว นมวัว เป็นประจำ จะทำให้เลือดเป็นกรด เชื้อไวรัสโควิด-19 เจริญเติบโตได้ง่าย

",2021-12-06 10:00:01+00:00,AFNCThailand
1467750656933089281,"ข่าวปลอม อย่าแชร์  น้ำยา CHEMGENE HLD4H สามารถกำจัดเชื้อโควิด-19 ได้ภายใน 1 นาที 

",2021-12-06 07:00:00+00:00,AFNCThailand
1467350519748304897,"ข่าวปลอม อย่าแชร์  ผลิตภัณฑ์ uSmile101 ใบหม่อน มีสารออกฤทธิ์ยับยั้งโควิด-19 ได้ 100%

",2021-12-05 04:30:00+00:00,AFNCThailand
1466331313363898370,"ข่าวปลอม อย่าแชร์  เลือดของผู้ที่ฉีดวัคซีนโควิดมีสีดำคล้ำ ไม่สามารถนำไปใช้รักษาผู้ป่วยได้

",2021-12-02 09:00:02+00:00,AFNCThailand
1464164528476893185,"ข่าวปลอม อย่าแชร์  จ.เชียงใหม่ พบนักศึกษา ม.เชียงใหม่ ติดเชื้อโควิด 19 จำนวนมาก ทำให้ทุกพื้นที่ของเชียงใหม่เสี่ยงหมด

",2021-11-26 09:30:01+00:00,AFNCThailand
1463802139512172544,"ข่าวบิดเบือน ตลาดกิมหยง พบแม่ค้าพ่อค้า ติดเชื้อโควิด-19 ถึงร้อยละ 82 ห้ามเข้าไปในพื้นที่เด็ดขาด

",2021-11-25 09:30:00+00:00,AFNCThailand
1463726640127643657,"ข่าวปลอม อย่าแชร์  ผลิตภัณฑ์ BetaX ช่วยยับยั้งการเจริญเติบโตของไวรัสโควิด-19 ได้ 100%

",2021-11-25 04:30:00+00:00,AFNCThailand
1463364253084110849,"ข่าวปลอม อย่าแชร์  ไปเลือกตั้งนายกและสมาชิกสภา อบต. วันที่ 28 พ.ย. 64 ต้องฉีดวัคซีนป้องกันโควิด-19 แล้ว

",2021-11-24 04:30:00+00:00,AFNCThailand
1462707425086255105,"ข่าวปลอม อย่าแชร์  บริษัทมีสิทธิ์ไม่จ่ายเงินเดือนพนักงานที่ติดโควิด-19 แล้วต้องกักตัว 14 วัน เพราะถือว่าขาดงาน

",2021-11-22 09:00:00+00:00,AFNCThailand
1461914699994435586,"ข่าวปลอม อย่าแชร์  เอกสารหนังสือรับรอง และแสดงการยินยอม เงื่อนไขการรับวัคซีนโควิด 19

",2021-11-20 04:30:00+00:00,AFNCThailand
1460857735927500806,"ข่าวบิดเบือน จ.ภูเก็ต ยกเลิกขอผลตรวจโควิด-19 และยกเลิกลงทะเบียนแจ้งข้อมูลเดินทางแบบออนไลน์

",2021-11-17 06:30:00+00:00,AFNCThailand
1460548203804196864,"ข่าวบิดเบือน คปภ. ออกมาตรการให้บริษัทประกันสามารถเปลี่ยนแปลงกรมธรรม์ได้

",2021-11-16 10:00:02+00:00,AFNCThailand
1459377984897490947,"ข่าวลอม อย่าแชร์  หากรับบริจาคเลือดจากผู้ที่ฉีดวัคซีนมา จะทำให้ได้รับผลจากวัคซีนดังกล่าวไปด้วย

",2021-11-13 04:30:00+00:00,AFNCThailand
1457996391863619595,"ข่าวปลอม อย่าแชร์  คำเตือนจากแพทย์ทั่วโลก ห้ามประชาชนฉีดวัคซีนโควิด-19 เพราะจะเกิดอันตรายต่อร่างกาย

",2021-11-09 09:00:02+00:00,AFNCThailand
1454025215420289024,"ข่าวปลอม อย่าแชร์  เรือนจำกลางนครศรีธรรมราช พบนักโทษติดเชื้อโควิด-19 จำนวน 1,300 คน

",2021-10-29 10:00:00+00:00,AFNCThailand
1452160427563970566,"ข่าวปลอม อย่าแชร์  ดื่มน้ำอ้อยดำต้มใบเตย ช่วยลดลิ่มเลือดอุดตันหลังฉีดวัคซีนโควิด

",2021-10-24 06:30:00+00:00,AFNCThailand
1451799539782852608,"ข่าวปลอม อย่าแชร์  พบนักท่องเที่ยวชาวต่างชาติเดินทางเข้าภูเก็ต 6 ประเทศ มีผลติดเชื้อโควิด-19 ทุกราย

",2021-10-23 06:35:58+00:00,AFNCThailand
1451405455771717632,"ข่าวปลอม อย่าแชร์  โควิด19 สายพันธุ์แลมบ์ดาระบาดหนักในเขตมีนบุรี หมอประสิทธิ์ ขอให้ประชาชนล็อกดาวน์ตัวเอง

",2021-10-22 04:30:01+00:00,AFNCThailand
1450725976355209219,"ข่าวปลอม อย่าแชร์  อดีตอธิบดีกรมการแพทย์แจ้ง หลังเปิดประเทศ 1 พ.ย. ใครติดโควิดต้องรักษาเอง

",2021-10-20 07:30:00+00:00,AFNCThailand
