status_id,status_text,status_datetime,username
1485832300692533248,"ข่าวปลอม อย่าแชร์  ธ.ออมสิน เปิดสินเชื่อฉุกเฉิน สำหรับผู้มีรายได้ประจำที่ได้รับผลกระทบจากโควิด 19 วงเงิน 50,000 บาท อนุมัติทุกคน

///เติมที่ https://t.co/yX7njY9F7d

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #สินเชื่อฉุกเฉิน #ออมสิน #กู้เงิน https://t.co/UgQ4fHiAaz",2022-01-25 04:30:00+00:00,AFNCThailand
1485537867967320065,"ข่าวปลอม อย่าแชร์  ประกันโควิด-19 ทั้งหมดจะจ่ายเงินค่ารักษา ค่าชดเชยรายได้ ให้เฉพาะผู้ที่ติดเชื้อลงปอดเท่านั้น เริ่มบังคับใช้ 4 ม.ค. 65

///เติมที่ https://t.co/xKh5V3rJaE

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #ประกัน #ความคุ้มครอง #ค่าสินไหม https://t.co/Tfoi9xDjz4",2022-01-24 09:00:02+00:00,AFNCThailand
1484813674175135746,"ข่าวปลอม อย่าแชร์  การสอดไม้ Swab ลึกถึงเพดานจมูก ทำให้เส้นประสาทรับกลิ่นเสียหาย และส่งผลเสียต่อสุขภาพ

///เติมที่ https://t.co/Ocfcei2VDK

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #ตรวจโควิด #Swab #จมูก #รับกลิ่น #สุขภาพ https://t.co/KNzCNSyDhW",2022-01-22 09:02:21+00:00,AFNCThailand
1483726728078200832,"ข่าวปลอม อย่าแชร์  รับประทานยาแอสไพรินต่อเนื่อง ช่วยรักษาโควิด-19 ด้วยตนเอง

///เติมที่ https://t.co/7Ds0UPN6xp

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #แอสไพริน #โควิด19 #รกษาโควิด #covid https://t.co/5yuA2GdVYM",2022-01-19 09:03:12+00:00,AFNCThailand
1482933197071552515,"ข่าวบิดเบือน เชื้อโควิด-19 สายพันธุ์โอมิครอนไม่โจมตีปอด ทำให้อาการเจ็บป่วยไม่รุนแรง

///เติมที่ https://t.co/80WmwYpq9l

#ข่าวบิดเบือน #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #โควิด #โอมิครอน #ปอด #อาการ https://t.co/B7Amu7Wqyo",2022-01-17 04:30:00+00:00,AFNCThailand
1481846033953001472,"ข่าวปลอม อย่าแชร์  แผ่น Virus Shut Out ช่วยฆ่าเชื้อโรค และเชื้อไวรัสได้ถึง 99.99%

///เติมที่ https://t.co/wcqLWRk2lC

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #ฆ่าเชื้อโรค #ไวรัส #โควิด #ฆ่าเชื่อไวรัส https://t.co/LfoT7PjOQ7",2022-01-14 04:30:00+00:00,AFNCThailand
1481572812850864128,"ข่าวปลอม อย่าแชร์ อ.บางละมุงไม่สามารถควบคุมการแพร่ระบาดโควิด-19 สายพันธุ์โอไมครอนได้ และรพ.ไม่รองรับ

///เติมที่ https://t.co/pzGcRQG9os

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #โอไมครอน #โอมิครอน #โควิด #ชลบุรี https://t.co/hxMeOtb1Ve",2022-01-13 10:24:19+00:00,AFNCThailand
1480441779665223686,"ข่าวปลอม อย่าแชร์  วัคซีนโควิด 19 มีสารกัมมันตภาพรังสีและนาโน พาทิเคิล เป็นอันตรายต่อมนุษย์

///เติมที่ https://t.co/eVAohRsGUf

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #โควิด #วัคซีน #อันตราย #สุขภาพ #ร่างกาย #สารเคมี https://t.co/g6oz42ID1L",2022-01-10 07:30:00+00:00,AFNCThailand
1479793319756505088,"ข่าวปลอม อย่าแชร์  นายกฯ สั่ง ล็อกดาวน์ 5 จังหวัด มีความเสี่ยงสูง

///เติมที่ https://t.co/wdvES5zaQm

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #ล็อกดาวน์ #โควิด #โอมิครอน https://t.co/8QGIucLPL0",2022-01-08 12:33:15+00:00,AFNCThailand
1479029981871316992,"ข่าวปลอม อย่าแชร์  จังหวัดชลบุรี ประกาศล็อกดาวน์

///เติมที่ https://t.co/8KbpKCuh2I

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter #AFNCThailand #ชลบุรี #ล็อคดาวน์ #มาตรการ #โควิด19 https://t.co/w6leVeqoRr",2022-01-06 10:00:01+00:00,AFNCThailand
