datetime,id,username,status
2022-01-23 10:04:56,1188724507432718336,AFNCThailand,"ข่าวปลอม อย่าแชร์!  สารสกัดขมิ้นชัน และพริกไทย รักษากรดไหลย้อน

///  https://t.co/i9a2KxFtVT

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #ขมิ้นชัน #พริกไทย #กรดไหลย้อน #สุขภาพ https://t.co/Vy4tVStb7x"
2022-01-23 9:34:21,1188724507432718336,AFNCThailand,"กทม. กำหนดการขายเครื่องดื่มแอลกอฮอล์ไม่เกิน 5 ทุ่ม สั่งปิดสถานบริการ สถานบันเทิง ผับ บาร์ คาราโอเกะชั่วคราว เริ่มวันที่ 24 ม.ค. 65 จริงหรือ?

/// https://t.co/WMfzrIyBAc

#ข่าวจริง #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #แอลกอฮอล์ #สถานบริการ https://t.co/OLEdXgkuVc"
2022-01-23 6:35:30,1188724507432718336,AFNCThailand,"ข่าวปลอม อย่าแชร์!  น้ำโซดา ช่วยทำให้อาหารย่อยได้ง่ายขึ้น

/// https://t.co/y2Z2oNDBIA

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #โซดา #ย่อยอาหาร #ปวดท้อง #ท้องอืด https://t.co/AmAWW684Eu"
2022-01-23 6:09:58,1188724507432718336,AFNCThailand,"วิธีเซ็นสำเนาบัตรประชาชน ให้ปลอดภัย ไม่ถูกสวมรอย

///  https://t.co/XSb9P9F2tf

#ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #บัตรประชาชน https://t.co/FsbPzC3zqt"
2022-01-23 4:59:37,1188724507432718336,AFNCThailand,"รายงานสถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ในประเทศไทย ตั้งแต่เดือนมีนาคม 2563 ถึงวันที่ 23 มกราคม 2565

#ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #โควิด19 #COVID19 https://t.co/MJOGvdwUIa"
2022-01-23 4:32:10,1188724507432718336,AFNCThailand,"ข่าวปลอม อย่าแชร์!  ท้องฟ้าปิด ฝนตก ลูกเห็บ ทอร์นาโด น้ำท่วม คือสัญญาณเตือนก่อน-หลัง จะเกิดสึนามิ

/// https://t.co/MvB4L5mbuy

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #ภัยพิบัติ #สึนามิ #ทอร์นาโด https://t.co/tGGd3DeOUw"
2022-01-23 3:01:26,1188724507432718336,AFNCThailand,"ศูนย์ฉีดวัคซีนกลางบางซื่อ เปิดให้เด็กอายุ 12 - 18 ปี Walk in ฉีดวัคซีนไฟเซอร์ เข็ม 3 จริงหรือ?

/// https://t.co/3RCCpfLUU6

#ข่าวจริง #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #วัคซีน #ไฟเซอร์ #สุขภาพ https://t.co/ejGXO5c6Bh"
2022-01-23 2:03:44,1188724507432718336,AFNCThailand,"ข่าวเด่นประจำสัปดาห์ (วันที่ 10-16 มกราคม 2565)

/// https://t.co/lRWfrz2LT5

#ข่าวเด่นประจำสัปดาห์ #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// https://t.co/DJgfCsKg7B"
2022-01-22 9:02:21,1188724507432718336,AFNCThailand,"ข่าวปลอม อย่าแชร์!  การสอดไม้ Swab ลึกถึงเพดานจมูก ทำให้เส้นประสาทรับกลิ่นเสียหาย และส่งผลเสียต่อสุขภาพ

/// https://t.co/Ocfcei2VDK

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #ตรวจโควิด #Swab #จมูก #รับกลิ่น #สุขภาพ https://t.co/KNzCNSyDhW"
2022-01-22 8:02:33,1188724507432718336,AFNCThailand,"ข่าวปลอม อย่าแชร์!  กระเทียมโทน สามารถรักษามะเร็งกระเพาะอาหาร

/// https://t.co/jYMFlFyLx7

#ข่าวปลอม #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #กระเทียมโทน #รักษาโรค #มะเร็ง #กระเพาะอาหาร https://t.co/CZDA7Ty1Hb"
2022-01-22 6:33:29,1188724507432718336,AFNCThailand,"กสทช. ร่วมกับ บช.สอท. และผู้ให้บริการเครือค่ายมือถือทุกราย ตัดสายแก๊ง Call Center หลอกลวง ไม่ให้โทรเข้าไทย จริงหรือ?

/// https://t.co/UPRSqjWVyF

#ข่าวจริง #ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #กสทช #มือถือ #CallCenter #หลอกลวง https://t.co/4klAQDYx6h"
2022-01-22 4:56:59,1188724507432718336,AFNCThailand,"รายงานสถานการณ์โรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ในประเทศไทย ตั้งแต่เดือนมีนาคม 2563 ถึงวันที่ 22 มกราคม 2565

#ศูนย์ต่อต้านข่าวปลอม #AntiFakeNewsCenter /// #โควิด19 #COVID19 https://t.co/aJlHiErccP"
